Detectada,Estado,Rubro,Organismo,Tipo,N°,Objeto,Apertura,Detalle apertura,Venta hasta,Valor pliego,Link,Pliego PDF,Fuente,ID
08/09/2026,Vigente,Arquitectura,"CUBIERTA DE TECHOS, REPARACION DE MAMPOSTERIAS Y PINTURA ESCUELA Nº 2 “ALVAREZ — CONDARCO”",Licitación Pública,10/26,"Provisión de Materiales y Mano de Obra según Pliego para la Obra: “IMPERMEABILIZACION CUBIERTA DE TECHOS, REPARACION DE MAMPOSTERIAS Y PINTURA ESCUELA Nº 2 “ALVAREZ CONDARCO”-CHAJARI-DEPARTAME NTO FEDERACION.”",30/09/2026,DE LAS OFERTAS: el día 30 de Septiembre de 2026 a las 10:00 hs,Ver pliego,$ 100 (Cien),https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,Boletín Oficial de Entre Ríos,id-75a5c9dd5b4aa6f3
08/09/2026,Vigente,Infraestructura,COLON — MUNICIPALIDAD DE COLON,Licitación Pública,,“ADQUISICIÓN DE MATERIALES PARA OBRAS COMPLEMENTARIAS Al PLAN DE PAVIMENTACIÓN URBANA”,24/09/2026,24 de SEPTIEMBRE de 2026,Ver pliego,Sin Cargo,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,Boletín Oficial de Entre Ríos,id-bc610b64999d147d
08/09/2026,Vigente,Infraestructura,FEDERACION — MUNICIPALIDAD DE CHAJARÍ,Licitación Pública,015/2026,"Llamar a LICITACION PUBLICA tendiente a la Provisión de 400 (CUATROCIENTOS) Equipos de luminarias para iluminación pública con tecnología LED 150, para ser colocadas en distintos sectores, con el fin de mejorar el aspecto de nuestra ciudad",18/09/2026,18 DE SEPTIEMBRE DE 2026 - HORA: 10:00. (DIEZ),Ver pliego,"$ 90.000,00. - (PESOS NOVENTA MIL CON 00/100)",https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,Boletín Oficial de Entre Ríos,id-74dfdad7e5f9d048
08/09/2026,Revisar fecha,Arquitectura,GUALEGUAYCHU — MUNICIPIO DE GILBERT,Licitación Pública,001-2026,L LAMADO A LICITACIÓN PÚBLICA Nº 001 -2026 – DECRETO N° 134/2026 DEPARTAMENTO EJECUTIVO. “CONTRATACION DE MANO DE OBRA PARA LA CONSTRUCCION DE UNA PILETA SEMI - OLIMPICA Y OBRAS COMPLEMENTARIAS EN EL MARCO DEL PLIEGO DE BASES Y CONDICIONES GENERALES Y PLIEGO DE CONDICIONES PARTICULARES Y ESPECIFICACIONES TECNICAS”,,Ver boletín,Ver pliego,SIN COSTO,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,Boletín Oficial de Entre Ríos,id-b7b0120caf49d551
08/09/2026,Vigente,Áridos,SAN SALVADOR — COMUNA COLONIA BAYLINA,Licitación Pública,06/2026,"Transporte de dos mil metros cúbicos (2.000 m³) de ripio arcilloso destinados al mantenimiento y mejoramiento de caminos de la jurisdicción comunal de acuerdo a los Pliegos de Bases, Condiciones Particulares y demás documentación",14/09/2026,14 de septiembre de 2026 - Hora: 10:00,Ver pliego,,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/08-09-26.pdf,Boletín Oficial de Entre Ríos,id-85e6cfd11c8a8889
08/09/2026,Vigente,Vehículos,COLON — MUNICIPALIDAD DE VILLA ELISA (E.R.),Licitación Pública,004/26,"ADQUISICIÓN DE UN (1) VEHÍCULO PARA TRANSPORTE DE PASAJEROS DE (5) CINCO PLAZAS 0 KM - MODELO/AÑO 2026, PARA LA MUNICIPALIDAD DE LA CIUDAD DE VILLA ELISA, ENTRE RÍOS",01/10/2026,"01 de OCTUBRE de 2026 a la hora 10:00 en la Oficina de Compras de la Municipalidad de Villa Elisa, Entre Ríos",Ver pliego,"$ 20.000,00 (Pesos Veinte mil con 00/100) el que se puede adquirir en ",https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/04-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/04-09-26.pdf,Boletín Oficial de Entre Ríos,id-0132097e777a3442
08/09/2026,Vigente,Arquitectura,GOBIERNO DE ENTRE RÍOS — UNIDAD CENTRAL DE CONTRATACIONES,Licitación Pública,06/26,"Adquirir materiales de construcción (chapas, rollos de film de polietileno, tirantes, clavos y clavadoras)",17/09/2026,"Unidad Central de Contrataciones, el día 17/09/26 a las 09:00 horas",Ver pliego,PESOS CINCUENTA MIL ($ 50.000),https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,Boletín Oficial de Entre Ríos,id-9dbdaa6090d92bd4
08/09/2026,Vigente,Arquitectura,MUNICIPALIDAD DE SEGUÍ,Licitación Pública,08-2026,"Adquisición de Materiales para la Obra Pública, según Planificación del “Proyecto: Vestuarios, Sanitarios y Salón de Us os Múltiples – Gimnasio Municipal”. Apertura de Sobres 17/09/2026 a las 10:00 hs, en el Edificio Municipal. El pliego será Gratuito. El mismo se encontrará para su consulta y entrega en Área de Suministro del Municipio, y también se podrá descargar en el Sitio Oficial Digital Municipal https://www.segui.gob.ar . Edgardo Muller, Presidente Municipal. ID:52321 - F.C. 04-00075716 3 v./03/09/2026",17/09/2026,"17/09/2026 a las 10:00 hs, en el Edificio Municipal. El pliego será Gratuito. El mismo se encontrará para su consulta y",17/09/2026,,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,Boletín Oficial de Entre Ríos,id-90c3d1f38f49418a
08/09/2026,Vigente,Infraestructura,FEDERACION — MUNICIPALIDAD DE CHAJARI,Licitación Pública,014/2026,"Llamar a LICITACION PUBLICA tendiente a la provisión de materiales – 500 (quinientos) m3 de Hormigón elaborado Tipo H30, Reglamento CIRSOC 201, para ser utilizados en la obra de construcción de pavimento en c alle Moreno entre Av. 1° de Mayo y Guarumba de nuestra ciudad",15/09/2026,15 DE SEPTIEMBRE DE 2026 - HORA: 10:00. (DIEZ),Ver pliego,"$ 82.500,00. - (PESOS OCHENTA Y DOS MIL QUINIENTOS CON 00/100)",https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,Boletín Oficial de Entre Ríos,id-9e58cc9ec0b69356
08/09/2026,Vigente,Infraestructura,URUGUAY — MUNICIPALIDAD DE CONCEPCIÓN DEL URUGUAY,Licitación Pública,27/2026,"“Adquisición de seiscientas (600) Luminarias Leds para Alumbrado Público”, en un todo de acuerdo a los Pliegos de Bases, Condiciones Particulares y demás docum entación",16/09/2026,16 de septiembre de 2026 - Hora: 10:00,Ver pliego,,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,https://www.entrerios.gov.ar/boletin/calendario/Boletin/2026/Septiembre/03-09-26.pdf,Boletín Oficial de Entre Ríos,id-608017f47f903d65
